employee_id,first_name,last_name,date_of_birth,gender,ethnicity,job_title,department,hire_date,termination_date,salary,hourly_rate,overtime_rate,pay_frequency,tax_withholding,ssn,address,city,state,zip_code,phone_number,emergency_contact_name,emergency_contact_phone,marital_status,spouse_name,number_of_dependents,education_level,years_of_experience,performance_rating,benefits_eligible,union_member
1,Miguelita,Martugin,8/9/1955,Female,Black,Research Associate,Support,11/9/2015,2/12/2013,102028.15,36.26,16.37,Bi-weekly,0.33,711-47-0100,9 Vernon Pass,Pégeia,,,260-871-2267,Miguelita Martugin,194-248-8629,Married,Miguelita Martugin,6,High School,18,3.69,false,false
2,Waiter,Burrus,1/17/1980,Male,Black,Cost Accountant,Business Development,8/4/2002,7/12/2000,85677.38,87.94,46.72,Monthly,0.98,476-43-9372,229 Kipling Alley,Tsaratanana,,,834-649-2855,Waiter Burrus,144-214-1584,Widowed,Waiter Burrus,4,High School,40,2.2,true,true
3,Dorene,Brient,5/11/1971,Female,White,Structural Engineer,Business Development,7/9/2015,6/15/2020,110351.75,49.45,80.53,Monthly,0.83,403-56-9329,4278 Rowland Lane,Juripiranga,,58330-000,208-543-7554,Dorene Brient,367-640-6322,Widowed,Dorene Brient,5,Master's Degree,47,2.94,false,true
4,Port,Burwell,6/24/1976,Male,White,Administrative Officer,Sales,7/1/2001,5/20/2009,190987.4,24.23,29.25,Weekly,0.64,466-58-7325,1945 Kropf Drive,Atikokan,ON,K1Y,536-163-6806,Port Burwell,326-944-4841,Widowed,Port Burwell,1,Doctorate,28,2.55,true,true
5,Audy,Uman,5/30/1968,Female,Black,Physical Therapy Assistant,Legal,4/25/2011,10/31/2015,198399.38,13.6,61.97,Bi-weekly,0.59,548-87-4092,40 Oriole Junction,Oslo,03,0113,989-153-2021,Audy Uman,586-186-1248,Single,Audy Uman,5,Associate's Degree,42,2.23,false,false
6,Vince,Siward,11/8/1975,Male,White,Structural Engineer,Services,7/14/2008,12/27/2011,127955.71,86.58,63.67,Monthly,0.33,808-31-9919,46511 Lawn Plaza,Xintaimen,,,905-596-0917,Vince Siward,787-548-4954,Widowed,Vince Siward,1,Bachelor's Degree,12,2.91,false,true
7,Dannie,Tatnell,3/15/1990,Male,Black,General Manager,Marketing,3/28/2009,9/4/2001,85199.89,96.55,41.19,Weekly,0.14,347-11-5921,358 Sachtjen Drive,Puerto Berrío,,053428,116-171-1590,Dannie Tatnell,785-216-8636,Married,Dannie Tatnell,7,Master's Degree,1,2.01,true,false
8,Maggi,Peck,9/9/1960,Female,Other,Senior Financial Analyst,Services,11/27/2016,3/20/2003,151422.85,89.83,36.27,Weekly,0.69,727-38-8767,737 Birchwood Alley,Kizel,,618370,577-650-3737,Maggi Peck,535-310-2326,Divorced,Maggi Peck,4,Master's Degree,44,1.51,false,false
9,Lora,Mainds,10/29/1958,Female,White,Registered Nurse,Business Development,9/15/2019,3/13/2011,106884.59,87.23,54.69,Bi-weekly,0.9,391-75-7927,5 Oak Valley Drive,Tārūt,,,184-502-8226,Lora Mainds,589-183-3835,Married,Lora Mainds,6,Bachelor's Degree,24,4.07,false,true
10,Joeann,Josselsohn,11/20/1998,Female,Asian,Product Engineer,Business Development,6/8/2019,3/6/2005,119342.89,60.35,95.95,Weekly,0.23,115-87-1362,346 Fallview Junction,Shuitou,,,404-266-2738,Joeann Josselsohn,951-642-5350,Divorced,Joeann Josselsohn,5,High School,37,4.73,true,false
