employee_id,first_name,last_name,date_of_birth,gender,ethnicity,job_title,department,hire_date,termination_date,salary,hourly_rate,overtime_rate,pay_frequency,tax_withholding,ssn,address,city,state,zip_code,phone_number,emergency_contact_name,emergency_contact_phone,marital_status,spouse_name,number_of_dependents,education_level,years_of_experience,performance_rating,benefits_eligible,union_member
1,Joy,Iacopini,3/15/1973,Female,Asian,Account Coordinator,Training,2/5/2021,11/9/2003,187897.22,91.09,80.34,Bi-weekly,0.96,468-18-5447,57794 Hallows Way,Parabon,,,206-392-8335,Joy Iacopini,473-660-6994,Married,Joy Iacopini,1,Bachelor's Degree,43,1.91,true,false
2,Yank,O'Dougherty,8/31/1951,Male,White,General Manager,Accounting,1/10/2007,11/25/2003,177862.76,59.92,45.05,Weekly,0.29,777-40-8101,2 Leroy Circle,Verkhniy Rohachyk,,,381-453-3388,Yank O'Dougherty,336-569-4401,Divorced,Yank O'Dougherty,7,High School,24,3.86,false,true
3,Else,Diego,10/8/1979,Female,Asian,Health Coach II,Engineering,10/1/2020,3/15/2004,144794.79,40.42,70.18,Bi-weekly,0.41,386-54-0218,70 Schurz Court,Tuusula,,04380,526-181-7960,Else Diego,353-412-2548,Widowed,Else Diego,1,High School,1,2.49,true,false
4,Ninon,Jakovijevic,11/6/1979,Female,White,Senior Quality Engineer,Research and Development,5/9/2013,12/4/2021,38396.14,29.31,87.88,Weekly,0.85,473-17-1618,751 Meadow Vale Way,Ystad,M,271 51,327-135-0543,Ninon Jakovijevic,523-870-8752,Single,Ninon Jakovijevic,2,Associate's Degree,26,4.6,false,false
5,Kean,Smewin,1/5/1989,Male,Black,VP Marketing,Sales,9/5/2000,6/8/2003,150780.41,61.2,23.72,Bi-weekly,0.16,774-40-0574,1 Hazelcrest Park,Quinchía,,664008,731-496-4878,Kean Smewin,803-938-5378,Divorced,Kean Smewin,10,Master's Degree,2,1.2,true,true
6,Christopher,Pennick,5/1/1992,Male,Black,Software Consultant,Product Management,8/14/2019,11/21/2017,194216.18,84.76,86.52,Monthly,0.54,898-85-5546,9627 Gulseth Street,Nong Muang,,15170,203-392-9307,Christopher Pennick,834-432-7033,Widowed,Christopher Pennick,1,High School,15,1.25,false,false
7,Broddie,Lotwich,8/10/1953,Male,Hispanic,Graphic Designer,Research and Development,3/29/2007,4/2/2009,161274.2,99.16,70.08,Weekly,0.61,220-08-9772,9071 Hoepker Point,Danidehe,,,855-933-7481,Broddie Lotwich,252-715-1127,Single,Broddie Lotwich,9,Associate's Degree,33,3.99,true,true
8,Rubi,Worsham,2/25/1962,Female,White,Data Coordinator,Training,4/22/2019,6/28/2001,133158.47,66.75,48.37,Bi-weekly,0.27,408-48-8536,88 Sheridan Parkway,Pirapo,,,313-879-2635,Rubi Worsham,118-837-7777,Single,Rubi Worsham,7,Doctorate,7,1.52,true,true
9,Dierdre,Madre,4/5/1969,Female,White,Environmental Specialist,Research and Development,11/21/2001,10/31/2020,115986.35,80.89,34.97,Bi-weekly,0.59,304-36-7181,6085 Parkside Park,São João da Boa Vista,,13870-000,141-745-1987,Dierdre Madre,384-879-9121,Divorced,Dierdre Madre,5,Bachelor's Degree,21,4.98,true,true
10,Theresa,Yoslowitz,5/31/1995,Female,White,Analyst Programmer,Support,1/4/2016,7/9/2008,85617.64,97.14,25.35,Weekly,0.23,473-84-8464,2 Utah Avenue,Yinping,,,279-545-3086,Theresa Yoslowitz,127-922-0548,Single,Theresa Yoslowitz,0,Bachelor's Degree,29,1.63,false,false
